No,Nama Resep,Kategori,Deskripsi,Bahan-bahan,Jumlah Bahan,Langkah Memasak,Jumlah Langkah,Waktu Memasak,Jumlah Porsi,Penulis,Lokasi Penulis,URL
124,Rendang Bola Bola Daging Dan Kentang,rendang,"Bismillah Rendang sangat identik dengan lebaran, karena itulah menu ini seakan wajib terhidang saat hari raya. Banyak orang suka rendang, tua dan muda, namun ternyata ada beberapa orang yang harus menahan dirinya menikmati sepotong daging rendang,...","250 gr daging sapi giling | 2 sdm kelapa sangrai | 1 sdm bumbu basah rendang instant | 1/2 sdm kaldu sapi bubuk | 5 buah kentang , potong serasi | 700 ml santan kental sedang | 60 gr bumbu basah rendang instant",7,"Rebus kentang sampai setengah empuk, angkat, sisihkan. Tumbuk kelapa sangrai sampai halus. || Campur daging giling dengan kelapa sangrai halus, kaldu sapi bubuk, dan 1 sdm bumbu basah rendang instant, aduk rata, lalu bulat-bulatkan daging. Selanjutnya, tuang santan dan bumbu basah rendang instant ke dalam wajan, masak dengan api sedang sambil terus diaduk sampai mendidih. Koreksi rasa. || Setelah mendidih beberapa saat, masukkan bola bola daging. Jangan diaduk-aduk sampai bola dagingnya kokoh. Jika sudah kokoh, masukkan kentang rebus, aduk perlahan. Masak sampai bumbu meresap dan kuah mengental. Sesekali diaduk agar tidak gosong.",3,60 menit,,Windri Aries,Jakarta Barat,https://cookpad.com/id/resep/25562235
125,Rendang Daging,rendang,"Tema minggu ini ""Saatnya Sajikan Hidangan Hari Raya yang Penuh Cerita 🌙"" Kali ini saya membuat Rendang Daging. Sumber Resep : Mbak @xanderskitchen #InspirasiDapurRamadan #HidanganHariRaya #HidanganIdulFitri_WongKito #CookpadCommunity_Palembang #CookpadCommunity_Lampung","1 kg daging sapi | 2500 ml santan kental dr 3 btr kelapa tua parut | 3 btg sereh , geprek | 1 lbr daun kunyit , sobek2 | 5 lbr daun salam | Bumbu yg dihaluskan : | 250 gr cabe keriting merah + cabe rawit | 150 gr bawang merah (boleh lebih) | 6 siung bawang putih | 1 sdt jinten | 1 sdt adas | 1 btr pala | 5 btr cengkeh | 3 btr kemiri , sangrai | 3 sdm ketumbar | 1 sdt merica | 3 jempol jahe | 2 jempol kunyit | 3 jempol lengkuas | secukupnya garam | Gula",21,"Potong2 daging kira2 1 kg jadi 20 potong. Tumbuk bumbu hingga halus. || Masukkan daging dan bumbu halus ke dalam wajan, tambahkan serai, daun kunyit, daun salam dan garam. Aduk daging dan bumbu hingga merata. Diamkan minimal 15 menit (posisi kompor mati) || Setelah 15 menit nyalakan api kompor. Daging akan mengeluarkan air, semakin lama semakin banyak air nya. || Teruskan memasak hingga air menyusut baru tuang santan nya || Setelah santan mendidih, kecilkan api. Masak sambil diaduk sampai daging empuk dan bumbu berminyak",5,150 menit,5 porsi,Wati Wartini,"Bandar Lampung, Provinsi Lampung",https://cookpad.com/id/resep/25562194
126,Rendang Instan,rendang,#BamasakBesamaan_HidanganHariRaya #InspirasiDapurRamadan #HidanganHariRaya #Gas2025 #CookpadCommunity_KalSelBar #CookpadCommunity_Borneo,"1/2 kg daging sapi (Rebus hingga setengah empuk) | secukupnya Air | 10 biji pentol (kebetulan ada sisa d kulkas jadi saya masukkan sekalian) | 2 bungkus santan instan 65 ml | secukupnya Minyak goreng | secukupnya Gula, garam dan kaldu bubuk | secukupnya Cabe rawit utuh | Bumbu halus | 5 biji cabe merah besar | Secukupnya cabe rawit | 10 siung bawang merah | 5 siung bawang putih | 3 biji kemiri",13,"Siapkan bahan², potong daging setelah di rebus. Tumis bumbu halus hingga harum, setelah itu masukkan bumbu instan aduk hingga tercampur rata || Setelah itu masukkan daging dan santan, tambahkan air secukupnya. Masukkan gula, garam dan kaldu bubuk, masak dengan api kecil sampai bumbu meresap dalam daging. || Jika di rasa daging kurang empuk boleh di tambahkan air lagi, sesaat sebelum di matikan masukkan pentol dan cabe utuh koreksi rasa. Siap di sajikan.",3,5 jam,,Mommy Nada Afifah,Banjarmasin,https://cookpad.com/id/resep/25560129
127,Rendang Jengkol (1203),rendang,Obat penambah nafsu makan ini...bikin nasi cepet habis...sekali sekali lebaran buat ini pasti laris manis... #CookpadCommunity_Tangerang #HidanganHariRaya #InspirasiDapurRamadan #Jengkol,"500 gr jengkol tua, belah2, rendam semalaman | Secukupnya air | 2 lbr pandan | 2 lbr daun salam | 2 lbr daun jeruk | Bumbu halus : | 10 bh cabe merah | 10 bh rawit merah | 7 butir bawang merah | 3 siung bawang putih | 1 ruas jahe | 2 cm kunyit | 3 butir kemiri | 1 sdt ketumbar , sangrai | Bumbu cemplung : | 2 lbr daun salam | 2 lbr daun jeruk | 2 btg serai , geprek | 1 lbr daun kunyit | 1 ruas lengkuas , geprek | 1 sdt garam | 1/2 sdt gula | 1/2 sdt kaldu bubuk | Bahan lainnya : | 500 ml santan encer | 200 ml santan kental | Secukupnya minyak goreng | Secukupnya bawang goreng",28,"Rebus jengkol dengan daun salam, pandan dan daun jeruk kurang lebih 30 mnt hingga jengkol empuk. || Tiriskan jengkol, geprek. Goreng sebentar saja. Angkat || Haluskan bumbu. || Dalam wajan campur jengkol, bumbu halus, salam, serai, lengkuas, daun kunyit dan daun jeruk serta santan cair. Masak hingga kuah mengental || Tambahkan santan kental, garam gula dan kaldu bubuk. Test rasa Masak hingga kuah mengental. Sajikan dgn taburan bawang goreng",5,1 jam,,Ati Agus Sapto (Mom's Firza),"Cikupa, Tangerang, Banten",https://cookpad.com/id/resep/15951285
128,Nastar Rendang,rendang,"Bismillah, Siapa sih yang gak suka nastar ? Hampir semuanya suka dengan kasta tertinggi dunia per-kuker-an. Bagaimana kalo nastar dengan rasa rendang? Enaaaaaak tauuu. Aku bikin nastar rendang yang insyaallah tetap enak. Aroma rempah dan rasanya yang pedas gurih bikin...","170 gr margarin butter | 10 gr gula halus | 2 gr garam | 4 gr baking powder | 2 butir kuning telur | 30 gr bumbu rendang instan | 200 gr tepung terigu protein rendah | 50 gr maizena | 15 gr susu bubuk | 65 gr keju parut | Isian : | 100-150 gr abon sapi | 30-50 gr mayonaise , sesuaikan hingga bisa dipulung | Olesan : | 1 butir kuning telur | 1 sdt minyak goreng | 1 sdt susu cair /air",17,"Di dalam wadah, masukkan margarin butter, gula halus, garam dan baking powder, mixer sebentar. Masukkan kuning telur dan bumbu rendang instan, mixer kembali hingga sedikit pucat dan mengembang lalu masukkan ayakan tepung terigu, maizena dan susu bubuk, aduk rata. Cukup pakai spatula || Tambahkan keju parut. Aduk hingga tercampur rata. Bagi adonan masing-masing 7-8 gr, dan bulatkan || Isiannya : campur abon dengan mayones, aduk rata. Nanti abon akan seperti pasta. Bagi isian masing-masing 5gr lalu bulatkan || Ambil 1 bagian kulit lalu beri isian dan bulatkan. Susun dalam loyang yang sudah dialasi dengan baking paper || Panaskan oven 10 menit dengan suhu 150°c. Lalu oven nastar 25 menit. Atau sesuaikan oven masing-masing. Lalu dinginkan Setelah dingin oles dengan olesan, lakukan sampai 2-3 kali dan oven kembali 120°c selama 15 menit atau sesuaikan oven masing-masing Dinginkan dan masukkan dalam toples",5,1 jam,,Saomi Mayhai,Depok,https://cookpad.com/id/resep/25554306
129,Rendang Telur,rendang,"Yg selalu di rindukan kalo lebaran selain rendang daging, rendang telur. 😋😋 ini enakkk pake banget. Saya buat gak pedas agar anak² tetap bisa menikmati 🧡 Sisa bumbu rendang bisa di buat nasgor lhoo😘 resep dah tayang. Yg penasaran silahkan di recook 👌💕 Happy Satday 🧡...",8 btr Telur Ayam (Rebus) | 350 ml Minyak (utk menggoreng telur ) | 500 gr Santan Kental | 2 bks Lada Bubuk | 1 bks Bumbu Rendang instant (Bumbu basah) | 2 lbr Daun Kunyit | 3 lbr Daun Salam | 6 lbr Daun jeruk | 2 batang Serai (geprek) | 200 ml Air | 1/2 sdt Garam | 1 sdt Kaldu Jamur | 2 sdt Gula Pasir (sy pakai gula halus ) | Bahan Bumbu Halus ; | 2 sdm Bumbu Kuning Bumbu Kuning | 1 sdm Ketumbar | 1 sdm Jinten | 1 btr Pala | 40 btr Bawang Merah | 15 btr Bawang Putih | 3 btr Bunga Lawang | 3 btr Kapulaga | 8 btr Cengkeh,23,"Siapkan Bahan || Panaskan minyak, masukkan telur rebus, goreng sebentar saja sampai agak berkulit. Angkat tiriskan. || Masukkan semua bahan bumbu halus ke jar blender, haluskan. || Masukkan santan kental ke dalam wajan masak dengan api besar sambil di aduk. Lalu Masukkan bumbu halus (yg telah di blender), lada dan bumbu rendang basah aduk rata. || Lalu masukkan daun kunyit, daun jeruk, daun salam, serai, telur dan air aduk rata. || Masukkan garam, kaldu jamur dan gula aduk rata. Masak sampai bumbu mengental dan menyusut. Tes rasa. || Rendang Telur siap di nikmati.",7,30 Menit,,beekitchen,Palembang,https://cookpad.com/id/resep/25392527
130,Pie Tempe Rendang Bakso,rendang,"Bismillah, Saya buat sebagai camilan. Tetap rasa lebaran nya ada, yaitu rendang. Eh tapi ini gak pakai daging tapi pakai bakso sapi ajah. Pedas dan gurih #hidanganhariraya #cookpadcommunity_depok #inspirasidapurramadan","10 buah bakso sapi | 1/2 sachet bumbu rendang instan | 1 potong ayam , lalu suwir | Pie Tempe : | 1 papan tempe | 75 gr tepung bumbu serbaguna | Topping: | Keju parut, bisa cheddar maupun mozzarella",8,"Potong-potong bakso lalu grill dan tambahkan bumbu rendang. Aduk rata, bisa tambahkan air sedikit. Sisihkan || Membuat pie tempe: Campur tempe yang telah dikukus dengan tepung bumbu serbaguna. Aduk rata || Olesi loyang pie dengan margarin, lalu tata adonan tempe hingga rata dan tusuk dengan garpu bagian dalamnya. Oven pie tempe selama 20 menit dengan suhu 190 derajat celcius. Atau sesuaikan oven masing-masing. Jika sudah matang dan dingin keluarkan dari cetakan. Isi pie tempe dengan bakso rendang. || Beri topping keju parut supaya lebih mantap lagi dan sajikan",4,45 menit,,Saomi Mayhai,Depok,https://cookpad.com/id/resep/25550068
131,Rendang Daging Sapi Kacang Merah Cabe Rawit,rendang,"27/03/2026 (1232)......lebaran hari ke-4 (24/03/2026) sy memasak rendang agak banyak,sekalian buat di bawa anak sy balik ke Semarang dan anak sy yg mulai awal bulan pindah ke apartemen karena pindah kantor jg. Rendang merupakan salah satu makanan...",2 kg daging sapi bagian topside | 600 gram daging sengkel | 12 cabe rawit | 196 gram kacang merah yg sudah di rebus | 20 sdm bumbu dasar merah plus ebi Bumbu Dasar Merah Plus Ebi | 6 sdm bumbu dasar hijau serbaguna Bumbu Dasar Hijau Serbaguna | 250 gram kelapa gongseng | 4 sdm bumbu kari bubuk | 5 siung bawang merah iris tipis | 1330 gram santan kekentalan sedang | 611 gram santan kental | 250 ml air mineral | 1 sdm himsalt | 1 sachet halawa kaldu rasa sapi | 2 buah asam kandis | 60 ml minyak sayur untuk menumis bumbu | Bahan Rempah Aromatik : | 3 batang serai geprek | 2 jempol laos geprek | 5 lembar daun salam | 7 lembar daun jeruk | 5 cm kayu manis | 7 kapulaga | 3 kuntum bunga lawang | 1 buah biji pala geprek | Bahan Bumbu Haluskan : | 2 jempol jahe | 1 telunjuk kunyit | 2 butir kemiri | 2 sdm ketumbar | 1 sdm himsalt | 2 lembar daun jeruk,32,"Rendam daging dengan 1 sdt gram dan 1 sdm maizena selama 15 menit,cuci hingga bersih di bawah air mengalir,tiriskan dan potong-potong. Rendam jg bahan-bahan bumbu lainnya. Siapkan bahan-bahan bumbu yg lainnya. || Haluskan semua bahan bumbu halus. Geprek laos,serai dan pala || Panaskan minyak dan tumis bamer hingga harum kekuningan. Masukkan bumbu halus dan semua bahan rempah aromatik,tumis kembali sampai harum. Masukkan bumbu dasar merah dan hijau,tumis kembali || Tambahkan bumbu kari bubuk,tumis kembali. Tuangi air mineral dan santan kekentalan sedang dan santan instan Rose Brand,masak hingga benar-benar mendidih,masak agak lama sampai bumbu naik minyaknya || Masukkan potongan daging,masak hingga daging mulai empuk dan kuah berkurang. Masukkan halawa dan 1/2 sdm himsalt. Masak terus sambil sesekali di aduk,supaya daging matang merata || Tambahkan santan kental,kelapa gongseng dan asam kandis,masak kembali hingga keluar minyak mendidih dan meletup-letup (step ini rendang harus terus di aduk ya) matikan api kompor (durasi memasak sekitar 4 jam,di mulai dr menumis bumbu) tutup wokpan dan diamkan/letakkan diatas meja makan hingga semalaman || Keeseokan paginya (abis subuh),tambahkan kacang merah dan cabe rawit,masak kembali hingga rendang agak mengering (sekitar 1 jam) sambil terus di aduk || Rendang daging kacang merah cabe rawit siap di nikmati. Tekstur daging rendang lembut tp tidak hancur,dagingnya masih moist tidak alot ketika di kunyah. Rendang seperti inilah kesukaan keluarga dengan bumbu yg super medok dan melimpah. Ketika makan bumbunya di awur-awur dengan nasi panas Maa Syaa Allah nikmat banget",8,5 jam,,Rossy Anna Oktavia (ABATA Kitchen),Bekasi,https://cookpad.com/id/resep/25551268
132,Rendang Arancini,rendang,"‎Rendang masih menjadi bintang di meja makan saat Hari Raya, namun kali ini ada yang tidak biasa, daging rendang dan nasi disatukan menjadi bola-bola nasi yang dilapisi tepung roti dan digoreng garing. ‎ ‎Rendang Arancini, perpaduan bola-bola nasi yang berasal dari Italia...",500 gram Daging giling | 1 bungkus bumbu rendang siap pakai | 500 ml Santan encer | 200 ml santan kental | 1 piring nasi | 4 butir telur | 8 sdm tepung terigu | 200 gram tepung panir | 150 gram keju mozarella,9,"Campurkan daging gilong dan bumbu rendang hingga merata || Tuang santan encer dan masak hingga santan menyusut, kurang lebih selama 20 menit || Tunagkan santan kental dan masak kembali hingga santan menyusut, kurang lebih selama 10 menit || Campurkan nasi, rendang, 2 butir telur, dan keju mozarella. Campurkna sampai benar-benar tercampur rata lalu bentuk bulat-bulat || Balurkan bola nasi di tepung terigu, lalu celupkan kedalam kocokan telur, lalu balur dengan tepung panir sampai semua permukaannya tertutup || Susun di tray airfryer, semprotkan minyak secukupnya, lalu airfry dengan suhu 150° C selama 20 menit, atau goreng diminyak panas hingga bola nasi terendam minyak semua sampai berwarna kecoklatan || Rendang arancini siap disajikan dengan tambahan sambel ijo supaya lebih mantap",7,1 jam,,suciwita,"Sidoarjo, Jawa Timur",https://cookpad.com/id/resep/25547010
133,Nasi Bakar Rendang,rendang,"Nasi rendang? Itu sih sudah biasa. Sekarang waktunya perpaduan rendang dan nasi bakar. Harumnya daun pisang yang dipanggang menyatu dengan rempah rendang yang kaya rasa, bikin selera langsung naik sejak pertama dibuka 🍃✨ #InspirasiDapurRamadan #HidanganHariRaya",Nasi putih | Daun pisang | Sambal hijau | Rendang daging | 250 g daging sapi (potong tipis) | 1 sdm minyak | 1 bungkus Bamboe bumbu rendang | 1 batang serai | 2 lembar daun jeruk | 150 ml air | 300 ml santan encer | 1 sdm kelapa gongseng ( kelapa parut sangrai yang dihaluskan),12,"Panaskan wajan, tumis bumbu rendang, minyak, serai dan daun jeruk hingga harum. Lalu masukan daging tumis sebentar lalu tambahkan air, tunggu hingga mendidih. || Setelah mendidih, masukan santan dan kelapa gongseng. Masak hingga air menyusut dan daging empuk. || Siapkan wadah untuk cetakan. Masukan daging rendang, sambal hijau lalu nasi. Tekan hingga padat. Cetak diatas daun pisang lalu bungkus. || Panaskan pan lalu panggang nasi hingga daun kecoklatan. Nasi bakar rendang siap dinikmati.",4,60 menit,4 Porsi,Nakama Tales,,https://cookpad.com/id/resep/25415649
134,Rendang Pakai Bumbu Instan Bamboe,rendang,"Setiap suap di meja lebaran, semoga menjadi energi untuk beramal kebaikan 😊🙏 Hidangan rendang praktis dengan bumbu instan Bamboe. Yuk intip resepnya 😊 #InsipirasiDapurRamadan #HidanganHariRaya #CookpadCommunity_Malang #RendangInstanBamboe",500 gr daging sapi | 1 bungkus bumbu rendang instan merk Bamboe | 1 batang serai (geprek) | 2 lembar daun jeruk | 65 ml santan instan | 500 ml air (bisa di tambah sesuai kebutuhan) | Secukupnya minyak goreng untuk menumis,7,"Siapkan daging, cuci bersih kemudian potong - potong. || Siapkan bumbu rendang instan, kemudian tumis hingga harum bersama serai dan daun jeruk. || Masukkan daging, air dan santan instan. Saya masak 5 menit sambil di tutup, matikan api kompor. Tunggu 30 menit jangan di buka tutupnya. || Kemudian masak lagi dengan api kecil-sedang sampai airnya susut dan kental. Jika di rasa kurang pas dapat tambahkan garam, gula atau penyedap sesuai selera. || Rendang siap untuk disajikan.",5,5 menit,,Erna Dwi,,https://cookpad.com/id/resep/25497361
135,Rendang Sapi Mommy Ken 2026,rendang,Sesuai ekspektasi rendang ala minang,"Bahan Utama | 1,5 kg daging sapi (khusus rendang) | 1,5 liter santan dari 1 butir kelapa ( santan kental + biasa) | 500 gr serundeng kelapa (disangray dan di haluskan) | 2 sachet bumbu rendang instan merk bamboe | Bumbu halus: | 250 gr bawang merah | 100 gr bawang putih | 2 ruas jahe | 1 ruas lengkuas | 200 gr cabe merah | 15 bh cabe rawit | Bumbu aromatik: | 2 butir asam kandis | 1 batang serai | 1 lembar daun kunyit | 3 lembar daun salam | 3 lembar daun jeruk | Bumbu rempah: | 5 bh bunga lawang | 10 bh kapulaga (buang isinya) | 10 bh cengkeh | 3/4 butir pala | 10 butir merica hitam | 8 cm kayu manis | 1 sdt ketumbar | Bumbu seasoning | Secukupnya garam | Secukupnya kaldu jamur | Sedikit gula pasir (SEDIKIT)",30,"Prepare semua bumbu yang dihaluskan, bumbu rempah, bumbu aromatik (disangray dulu sebelumnya) dan sangray serundengnya sebelum dihaluskan. || Siapkan wajan besar, tuang santan biasa semua. Masukkan bumbu halus (bamer, baput, cabe merah, cabe rawit, jahe, lengkuas). Bumbu rempah yg sudah di sangray (boleh di haluskan setelah disangray atau mau langsung di cemplung aja bebas), masukkan serundeng halus, masukkan bumbu aromatik (salam, daun jeruk, daun kunyit, asam kandis, serai geprek). Aduk sambil nyalakan kompor. Biarkan sampai agak menyusut sedikit. || Siapkan panci presto masukkan daging sapi yang udah dibersihkan di potong-potong. Masukkan santan yang yg dicampur bumbu yang udah agak menyusut tadi (tapi ngga semua, secukupnya di panci presto) Masukkan seasoning (garam, gula sesikit, kaldu jamur) aduk kemudian dipresto selama 15 menit saja. || Setelah selesai presto, uap hilang. Masukkan kembali daging tersebut ke wajan besar tadi. Tuang santan kental masak terus hingga menyusut sambil di cek rasa.",4,3 jam,,Mommy Ken🦋,"Gresik, Jatim",https://cookpad.com/id/resep/25545559
136,Rendang Daging Dan Kentang,rendang,"perdana masak rendang daging, alhamdulillah hasilnya memuaskan",1 kg daging kerbau | 3 buah kelapa (parut dan peras santan ) | 1 buah kelapa gongseng | 5-10 lembar Daun jeruk | 5 lembar Daun salam | 2 lembar Daun kunyit | Bumbu halus | 15 siung bawang merah | 10 siung bawang putih | 200 ons cabe merah | 15 biji cabe rawit | 20 gram jahe (2 ruas) | 30 gram laos (3 ruas) | Bumbu rendang kering (2 bungkus seribuan) | 1/2 kg kentang bulat kecil,15,"Masukan perasan santan kelapa, bumbu halus bumbu kering dan daging || Didihkan sambil sesekali di aduk || Jika sudah susut air tambahkan ambu-ambu kelapa goreng dan masukkan kentang || Masak hingga kurleb 2-3 jam smapai benar2 tanak dan kering",4,3 jam,,mawarni sukma,,https://cookpad.com/id/resep/25501112
137,Rendang,rendang,"#InspirasiDapurRamadan #HidanganHariRaya ‎السَّلاَمُ عَلَيْكُمْ وَرَحْمَةُ اللهِ وَبَرَكَاتُه Dengan segala kerendahan hati, ijinkan saya mengucapkan : ✨_🕌 Taqabballahu minna wa minkum, Shiyaamana wa shiyamakum. Kullu’aam wa antum _bikhair 🕌_✨ *_Selamat HARI RAYA IDUL FITRI 1447...","✔️Ambu : | 300 gr kelapa parut | ✔️Bahan : | 1,5 kg daging sengkel | 1,5 liter santan encer | 1,5 liter santan kental | ✔️Bumbu halus : | 100-150 gr cabe merah giling | 15 siung bawang merah | 20 siung bawang putih | 4 sdt ketumbar bubuk | 1 sdt kunyit bubuk | 7 butir kemiri | ✔️Aromatik : | 7 lembar daun jeruk | 2 batang sereh | 2 lembar daun salam | 2 ruas lengkuas | 2 ruas jahe | ✔️Bumbu cemplung : | 2 sdt garam | 2 sdt gula pasir | 2 keping gula merah",23,"Membuat ambu : Sangrai kelapa parut hingga kering, selagi masih panas uleg hingga lembut dan keluar minyak. Siapkan bumbu bumbu lain serta santan || Taburi daging yang sudah dipotong dengan garam kemudian siram air panas. Aduk-aduk agar kotoran keluar || Cuci bersih daging dengan air mengalir. Masak daging hingga keluar air || Aduk sesekali, setelah airnya keluar banyak masukkan bumbu aromatik, bumbu halus dan cabe giling || Setelah mendidih masukkan garam dan gula serta santan encer || Masak hingga mendidih, kemudian masukkan santan kental masak hingga kuah mengental. Masukkan ambu aduk rata || Setelah ambu tercampur kuah jadi lebih kental dan berminyak. Untuk kekentalan bisa disesuai selera.",7,5 jam,,Ika Mahendra Moenif,YOGYAKARTA,https://cookpad.com/id/resep/25498988
